Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0155323322	-26.6894078	-26.6894078	-26.6894078	-26.6894078	0	0	0	0	0	0	3
2	1	0	0.0310646644	24.84589	-0.921758941	-26.6894078	24.84589	25.7676489	0	0	0	0	0	3
3	2	0	0.0465969967	11.3992541	3.18524541	-26.6894078	24.84589	29.8746533	0	0	0	0	0	3
4	2	0	0.0621293289	1.77259937	2.8320839	-26.6894078	24.84589	29.8746533	0	0	0	0	0	3
5	2	0	0.0776616611	12.179756	4.70161832	-26.6894078	24.84589	31.3910262	0	0	0	0	0	3
6	2	0	0.0931939933	8.40777335	5.31931083	-26.6894078	24.84589	32.0087187	0	0	0	0	0	3
7	3	0	0.108726326	9.9582902	5.98202217	-26.6894078	24.84589	32.67143	0	0	0	0	0	3
8	3	0	0.124258658	8.72518263	6.32491722	-26.6894078	24.84589	33.0143251	0	0	0	0	0	3
9	3	0	0.13979099	10.6315781	6.8034351	-26.6894078	24.84589	33.4928429	0	0	0	0	0	3
10	3	0	0.155323322	15.8206085	7.70515244	-26.6894078	24.84589	34.3945603	0	0	0	0	0	3
11	4	0	0.170855654	8.43276916	7.77129941	-26.6894078	24.84589	34.4607073	0	0	0	0	0	3
12	4	0	0.186387987	8.4458896	7.82751526	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
13	4	0	0.201920319	6.36388864	7.7149286	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
14	4	0	0.217452651	-2.75477954	6.9670923	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
15	5	0	0.232984983	6.23510361	6.91829306	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
16	5	0	0.248517316	6.421701	6.88725605	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
17	5	0	0.264049648	4.34276831	6.7375803	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
18	5	0	0.27958198	8.23224035	6.82061697	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
19	6	0	0.295114312	4.83182127	6.71594352	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
20	6	0	0.310646644	8.42055803	6.80117424	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
21	6	0	0.326178977	5.39415768	6.73417345	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
22	6	0	0.341711309	6.5146166	6.7241936	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
23	7	0	0.357243641	4.8195586	6.64138338	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
24	7	0	0.372775973	2.14133193	6.45388123	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
25	7	0	0.388308305	4.43737133	6.37322084	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
26	7	0	0.403840638	0.86834243	6.16149475	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
27	7	0	0.41937297	3.20048677	6.05182778	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
28	8	0	0.434905302	2.67588884	5.93125854	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
29	8	0	0.450437634	2.15211934	5.80094339	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
30	8	0	0.465969967	-0.0322892012	5.6065023	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
31	8	0	0.481502299	0.530317882	5.44275442	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
32	9	0	0.497034631	-0.180082844	5.26704076	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
33	9	0	0.512566963	-0.292151217	5.09858039	-26.6894078	24.84589	34.5169231	0	0	0	0	0	3
34	9	0	0.528099295	-0.367032064	5.89622814	-2.75477954	24.84589	8.7492742	0	0	0	0	0	3
35	9	0	0.543631628	-0.927496601	5.11521643	-2.75477954	15.8206085	4.99543136	0	0	0	0	0	3
36	10	0	0.55916396	-1.70043931	4.71825602	-2.75477954	15.8206085	4.99543136	0	0	0	0	0	3
37	10	0	0.574696292	-1.96001424	4.60514652	-2.75477954	15.8206085	3.22236874	0	0	0	0	0	3
38	10	0	0.590228624	-2.13616859	4.17133062	-2.75477954	15.8206085	3.65618464	0	0	0	0	0	3
39	10	0	0.605760957	-1.67380909	3.86582812	-2.75477954	15.8206085	3.96168714	0	0	0	0	0	3
40	11	0	0.621293289	-2.18356503	3.49789312	-2.75477954	15.8206085	4.32962214	0	0	0	0	0	3
41	11	0	0.636825621	-2.40759596	3.16053619	-2.75477954	15.8206085	4.66697907	0	0	0	0	0	3
42	11	0	0.652357953	-2.51733718	2.76208421	-2.75477954	15.8206085	5.06543105	0	0	0	0	0	3
43	11	0	0.667890285	-2.41075589	2.20961863	-2.75477954	8.4458896	5.61789664	0	0	0	0	0	3
44	12	0	0.683422618	-2.6350532	1.87423007	-2.75477954	8.4458896	5.95328519	0	0	0	0	0	3
45	12	0	0.69895495	-2.44567665	1.54418261	-2.75477954	8.42055803	6.17074599	0	0	0	0	0	3
46	12	0	0.714487282	-2.48950017	1.2758981	-2.75477954	8.42055803	5.69119421	0	0	0	0	0	3
47	12	0	0.730019614	-2.58069183	1.28117348	-2.6350532	8.42055803	5.64239496	0	0	0	0	0	3
48	12	0	0.745551947	-2.48186836	1.01702282	-2.6350532	8.42055803	5.87023324	0	0	0	0	0	3
49	13	0	0.761084279	-2.3920528	0.749939368	-2.6350532	8.42055803	6.07067761	0	0	0	0	0	3
50	13	0	0.776616611	-2.50980412	0.542285658	-2.6350532	8.42055803	6.27833132	0	0	0	0	0	3
51	13	0	0.792148943	-2.51017015	0.216758067	-2.6350532	8.42055803	6.58441617	0	0	0	0	0	3
52	13	0	0.807681275	-2.51216944	-0.00578710595	-2.6350532	8.42055803	6.80696135	0	0	0	0	0	3
53	14	0	0.823213608	-2.55193313	-0.338286838	-2.6350532	6.5146166	7.07246029	0	0	0	0	0	3
54	14	0	0.83874594	-2.47502951	-0.576747056	-2.6350532	6.5146166	7.30094065	0	0	0	0	0	3
55	14	0	0.854278272	-2.29688694	-0.843762315	-2.6350532	4.8195586	7.45461181	0	0	0	0	0	3
56	14	0	0.869810604	-2.16784676	-1.05550187	-2.6350532	4.43737133	7.07242453	0	0	0	0	0	3
57	14	0	0.885342937	-1.86320074	-1.17685135	-2.6350532	4.43737133	7.07242453	0	0	0	0	0	3
58	15	0	0.900875269	-1.67334103	-1.36202445	-2.6350532	3.20048677	5.83553997	0	0	0	0	0	3
59	15	0	0.916407601	-1.52749015	-1.43462543	-2.6350532	3.20048677	5.83553997	0	0	0	0	0	3
60	15	0	0.931939933	-1.38163217	-1.57347752	-2.6350532	2.67588884	5.31094205	0	0	0	0	0	3
61	15	0	0.947472265	-1.22067263	-1.69155514	-2.6350532	2.15211934	4.78717255	0	0	0	0	0	3
62	16	0	0.963004598	-1.11137181	-1.79044882	-2.6350532	0.530317882	3.16537109	0	0	0	0	0	3
63	16	0	0.97853693	-0.808362853	-1.8139662	-2.6350532	0.530317882	3.16537109	0	0	0	0	0	3
64	16	0	0.994069262	-0.662013602	-1.85009746	-2.6350532	-0.180082844	2.45497036	0	0	0	0	0	3
65	17	0	1.00960159	-0.703206497	-1.86594969	-2.6350532	-0.292151217	2.34290199	0.557261641	0	23.7	0	0	3
66	17	0	1.02513393	-0.52079514	-1.87287829	-2.6350532	-0.367032064	2.26802114	0.557261641	0	24.5	0	0	3
