Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0155323322	0.179414133	0.179414133	0.179414133	0.179414133	0	0	0	0	0	0	3
2	1	0	0.0310646644	-0.052175931	0.0636191012	-0.052175931	0.179414133	0.115795032	0	0	0	0	0	3
3	2	0	0.0465969967	0.0463033401	0.0578471808	-0.052175931	0.179414133	0.121566953	0	0	0	0	0	3
4	2	0	0.0621293289	-0.00458850939	0.0422382583	-0.052175931	0.179414133	0.137175875	0	0	0	0	0	3
5	2	0	0.0776616611	0.0409022755	0.0419710617	-0.052175931	0.179414133	0.137443072	0	0	0	0	0	3
6	2	0	0.0931939933	0.0120378063	0.0369821858	-0.052175931	0.179414133	0.142431948	0	0	0	0	0	3
7	3	0	0.108726326	0.127710978	0.0499434418	-0.052175931	0.179414133	0.142431948	0	0	0	0	0	3
8	3	0	0.124258658	0.0815717293	0.0538969778	-0.052175931	0.179414133	0.142431948	0	0	0	0	0	3
9	3	0	0.13979099	0.0598630324	0.0545598727	-0.052175931	0.179414133	0.142431948	0	0	0	0	0	3
10	3	0	0.155323322	0.106917483	0.0597956338	-0.052175931	0.179414133	0.142431948	0	0	0	0	0	3
11	4	0	0.170855654	0.130378052	0.0662122173	-0.052175931	0.179414133	0.142431948	0	0	0	0	0	3
12	4	0	0.186387987	0.19225087	0.0767154383	-0.052175931	0.19225087	0.142431948	0	0	0	0	0	3
13	4	0	0.201920319	0.227361195	0.0883035734	-0.052175931	0.227361195	0.142431948	0	0	0	0	0	3
14	4	0	0.217452651	0.24551048	0.0995326382	-0.052175931	0.24551048	0.142431948	0	0	0	0	0	3
15	5	0	0.232984983	0.267481271	0.110729214	-0.052175931	0.267481271	0.142431948	0	0	0	0	0	3
16	5	0	0.248517316	0.313577756	0.123407248	-0.052175931	0.313577756	0.142431948	0	0	0	0	0	3
17	5	0	0.264049648	0.366824682	0.13772592	-0.052175931	0.366824682	0.142431948	0	0	0	0	0	3
18	5	0	0.27958198	0.383957668	0.151405462	-0.052175931	0.383957668	0.142431948	0	0	0	0	0	3
19	6	0	0.295114312	0.425648419	0.165839302	-0.052175931	0.425648419	0.142431948	0	0	0	0	0	3
20	6	0	0.310646644	0.46379018	0.180736846	-0.052175931	0.46379018	0.14375466	0	0	0	0	0	3
21	6	0	0.326178977	0.50560909	0.196206952	-0.052175931	0.50560909	0.159224767	0	0	0	0	0	3
22	6	0	0.341711309	0.506362912	0.210304951	-0.052175931	0.506362912	0.173322765	0	0	0	0	0	3
23	7	0	0.357243641	0.546899211	0.224939484	-0.052175931	0.546899211	0.187957298	0	0	0	0	0	3
24	7	0	0.372775973	0.561376641	0.238957698	-0.052175931	0.561376641	0.201975513	0	0	0	0	0	3
25	7	0	0.388308305	0.562691692	0.251907058	-0.052175931	0.562691692	0.214924872	0	0	0	0	0	3
26	7	0	0.403840638	0.582619435	0.264626765	-0.052175931	0.582619435	0.227644579	0	0	0	0	0	3
27	7	0	0.41937297	0.578370977	0.276246921	-0.052175931	0.582619435	0.239264735	0	0	0	0	0	3
28	8	0	0.434905302	0.58719507	0.287352212	-0.052175931	0.58719507	0.250370026	0	0	0	0	0	3
29	8	0	0.450437634	0.615723778	0.29867537	-0.052175931	0.615723778	0.261693184	0	0	0	0	0	3
30	8	0	0.465969967	0.634009317	0.309853168	-0.052175931	0.634009317	0.272870982	0	0	0	0	0	3
31	8	0	0.481502299	0.635688846	0.320363996	-0.052175931	0.635688846	0.28338181	0	0	0	0	0	3
32	9	0	0.497034631	0.637887138	0.330286594	-0.052175931	0.637887138	0.293304408	0	0	0	0	0	3
33	9	0	0.512566963	0.641820377	0.339727012	-0.052175931	0.641820377	0.302744826	0	0	0	0	0	3
34	9	0	0.528099295	0.642149702	0.353749302	-0.052175931	0.642149702	0.316767116	0	0	0	0	0	3
35	9	0	0.543631628	0.652581533	0.375105589	-0.00458850939	0.652581533	0.338123403	0	0	0	0	0	3
36	10	0	0.55916396	0.658081555	0.393644322	-0.00458850939	0.658081555	0.356662137	0	0	0	0	0	3
37	10	0	0.574696292	0.658895543	0.4137499	0.0120378063	0.658895543	0.376767714	0	0	0	0	0	3
38	10	0	0.590228624	0.654855199	0.432354534	0.0120378063	0.658895543	0.395372348	0	0	0	0	0	3
39	10	0	0.605760957	0.653767848	0.451800899	0.0598630324	0.658895543	0.401857457	0	0	0	0	0	3
40	11	0	0.621293289	0.651005394	0.467658305	0.0598630324	0.658895543	0.413761328	0	0	0	0	0	3
41	11	0	0.636825621	0.65008352	0.484885935	0.0598630324	0.658895543	0.430326063	0	0	0	0	0	3
42	11	0	0.652357953	0.644513004	0.502602601	0.106917483	0.658895543	0.442806967	0	0	0	0	0	3
43	11	0	0.667890285	0.64302587	0.51884831	0.130378052	0.658895543	0.452636093	0	0	0	0	0	3
44	12	0	0.683422618	0.639818703	0.534285905	0.19225087	0.658895543	0.457570467	0	0	0	0	0	3
45	12	0	0.69895495	0.636128146	0.547736732	0.227361195	0.658895543	0.431534348	0	0	0	0	0	3
46	12	0	0.714487282	0.629798942	0.559931815	0.24551048	0.658895543	0.413385063	0	0	0	0	0	3
47	12	0	0.730019614	0.62878921	0.571546322	0.267481271	0.658895543	0.391414271	0	0	0	0	0	3
48	12	0	0.745551947	0.626660826	0.582430551	0.313577756	0.658895543	0.345317787	0	0	0	0	0	3
49	13	0	0.761084279	0.624559317	0.591854235	0.366824682	0.658895543	0.292070861	0	0	0	0	0	3
50	13	0	0.776616611	0.621690936	0.599577455	0.383957668	0.658895543	0.274937875	0	0	0	0	0	3
51	13	0	0.792148943	0.627398891	0.606954461	0.425648419	0.658895543	0.233247123	0	0	0	0	0	3
52	13	0	0.807681275	0.630404368	0.613159187	0.46379018	0.658895543	0.195105363	0	0	0	0	0	3
53	14	0	0.823213608	0.641963274	0.618558372	0.50560909	0.658895543	0.153286453	0	0	0	0	0	3
54	14	0	0.83874594	0.629569175	0.622314738	0.506362912	0.658895543	0.152532631	0	0	0	0	0	3
55	14	0	0.854278272	0.614004764	0.625576612	0.546899211	0.658895543	0.111996332	0	0	0	0	0	3
56	14	0	0.869810604	0.587146824	0.626796237	0.561376641	0.658895543	0.0975189012	0	0	0	0	0	3
57	14	0	0.885342937	0.558276919	0.626702306	0.558276919	0.658895543	0.100618624	0	0	0	0	0	3
58	15	0	0.900875269	0.527366877	0.625631857	0.527366877	0.658895543	0.131528665	0	0	0	0	0	3
59	15	0	0.916407601	0.500371918	0.623139508	0.500371918	0.658895543	0.158523625	0	0	0	0	0	3
60	15	0	0.931939933	0.473757052	0.619969389	0.473757052	0.658895543	0.185138491	0	0	0	0	0	3
61	15	0	0.947472265	0.45153954	0.615858615	0.45153954	0.658895543	0.207356003	0	0	0	0	0	3
62	16	0	0.963004598	0.432129516	0.610295153	0.432129516	0.658895543	0.226766027	0	0	0	0	0	3
63	16	0	0.97853693	0.415006433	0.603658702	0.415006433	0.658895543	0.243889109	0	0	0	0	0	3
64	16	0	0.994069262	0.397774645	0.596449181	0.397774645	0.658895543	0.261120897	0	0	0	0	0	3
65	17	0	1.00960159	0.38511854	0.588789526	0.38511854	0.658895543	0.273777003	0.0199045216	0	7.2	0	0	3
66	17	0	1.02513393	0.371500019	0.580598	0.371500019	0.658895543	0.273046935	0.0199045216	0	7.2	0	0	3
67	17	0	1.04066626	0.361657655	0.572098241	0.361657655	0.658895543	0.251690648	0.0199045216	0	7.9	0	0	3
68	17	0	1.05619859	0.354897824	0.563077523	0.354897824	0.658895543	0.233151914	0.0199045216	0	8.5	0	0	3
69	17	0	1.07173092	0.348594205	0.553699118	0.348594205	0.658895543	0.213046337	0.0199045216	0	9.3	0	0	3
70	18	0	1.08726326	0.341776236	0.544089442	0.341776236	0.654855199	0.194441703	0.0199045216	0	10.2	0	0	3
71	18	0	1.10279559	0.339271701	0.534526306	0.339271701	0.653767848	0.174995338	0.0199045216	0	11.3	0	0	3
72	18	0	1.11832792	0.33413839	0.524840565	0.33413839	0.651005394	0.159137932	0.0199045216	0	12.5	0	0	3
