Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0155323322	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.0310646644	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0465969967	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0621293289	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0776616611	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.0931939933	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.108726326	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.124258658	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.13979099	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.155323322	0	0	0	0	0	0	0	0	0	0	3
11	4	0	0.170855654	0	0	0	0	0	0	0	0	0	0	3
12	4	0	0.186387987	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.201920319	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.217452651	0	0	0	0	0	0	0	0	0	0	3
15	5	0	0.232984983	0	0	0	0	0	0	0	0	0	0	3
16	5	0	0.248517316	0	0	0	0	0	0	0	0	0	0	3
17	5	0	0.264049648	0	0	0	0	0	0	0	0	0	0	3
18	5	0	0.27958198	0	0	0	0	0	0	0	0	0	0	3
19	6	0	0.295114312	0	0	0	0	0	0	0	0	0	0	3
20	6	0	0.310646644	0	0	0	0	0	0	0	0	0	0	3
21	6	0	0.326178977	0	0	0	0	0	0	0	0	0	0	3
22	6	0	0.341711309	0	0	0	0	0	0	0	0	0	0	3
23	7	0	0.357243641	0	0	0	0	0	0	0	0	0	0	3
24	7	0	0.372775973	0	0	0	0	0	0	0	0	0	0	3
25	7	0	0.388308305	0	0	0	0	0	0	0	0	0	0	3
26	7	0	0.403840638	0	0	0	0	0	0	0	0	0	0	3
27	7	0	0.41937297	0	0	0	0	0	0	0	0	0	0	3
28	8	0	0.434905302	0	0	0	0	0	0	0	0	0	0	3
29	8	0	0.450437634	0	0	0	0	0	0	0	0	0	0	3
30	8	0	0.465969967	0	0	0	0	0	0	0	0	0	0	3
31	8	0	0.481502299	0	0	0	0	0	0	0	0	0	0	3
32	9	0	0.497034631	0	0	0	0	0	0	0	0	0	0	3
33	9	0	0.512566963	0	0	0	0	0	0	0	0	0	0	3
