Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0155323322	101329.112	101329.112	101329.112	101329.112	0	0	0	0	0	0	3
2	1	0	0.0310646644	101322.418	101325.765	101322.418	101329.112	3.34729809	0	0	0	0	0	3
3	2	0	0.0465969967	101323.741	101325.09	101322.418	101329.112	4.02189456	0	0	0	0	0	3
4	2	0	0.0621293289	101325.101	101325.093	101322.418	101329.112	4.02189456	0	0	0	0	0	3
5	2	0	0.0776616611	101324.907	101325.056	101322.418	101329.112	4.05635086	0	0	0	0	0	3
6	2	0	0.0931939933	101324.606	101324.981	101322.418	101329.112	4.13129369	0	0	0	0	0	3
7	3	0	0.108726326	101326.289	101325.168	101322.418	101329.112	4.13129369	0	0	0	0	0	3
8	3	0	0.124258658	101324.769	101325.118	101322.418	101329.112	4.13129369	0	0	0	0	0	3
9	3	0	0.13979099	101324.432	101325.042	101322.418	101329.112	4.13129369	0	0	0	0	0	3
10	3	0	0.155323322	101325.077	101325.045	101322.418	101329.112	4.13129369	0	0	0	0	0	3
11	4	0	0.170855654	101324.762	101325.019	101322.418	101329.112	4.13129369	0	0	0	0	0	3
12	4	0	0.186387987	101324.355	101324.964	101322.418	101329.112	4.14803016	0	0	0	0	0	3
13	4	0	0.201920319	101325.088	101324.974	101322.418	101329.112	4.14803016	0	0	0	0	0	3
14	4	0	0.217452651	101325.784	101325.032	101322.418	101329.112	4.14803016	0	0	0	0	0	3
15	5	0	0.232984983	101324.916	101325.024	101322.418	101329.112	4.14803016	0	0	0	0	0	3
16	5	0	0.248517316	101324.679	101325.002	101322.418	101329.112	4.14803016	0	0	0	0	0	3
17	5	0	0.264049648	101325.316	101325.021	101322.418	101329.112	4.14803016	0	0	0	0	0	3
18	5	0	0.27958198	101324.739	101325.005	101322.418	101329.112	4.14803016	0	0	0	0	0	3
19	6	0	0.295114312	101325.27	101325.019	101322.418	101329.112	4.14803016	0	0	0	0	0	3
20	6	0	0.310646644	101324.571	101324.997	101322.418	101329.112	4.14803016	0	0	0	0	0	3
21	6	0	0.326178977	101325.082	101325.001	101322.418	101329.112	4.14803016	0	0	0	0	0	3
22	6	0	0.341711309	101324.784	101324.991	101322.418	101329.112	4.14803016	0	0	0	0	0	3
23	7	0	0.357243641	101325.242	101325.002	101322.418	101329.112	4.14803016	0	0	0	0	0	3
24	7	0	0.372775973	101325.14	101325.008	101322.418	101329.112	4.14803016	0	0	0	0	0	3
25	7	0	0.388308305	101324.912	101325.004	101322.418	101329.112	4.14803016	0	0	0	0	0	3
26	7	0	0.403840638	101325.118	101325.008	101322.418	101329.112	4.14803016	0	0	0	0	0	3
27	7	0	0.41937297	101324.908	101325.004	101322.418	101329.112	4.14803016	0	0	0	0	0	3
28	8	0	0.434905302	101324.891	101325	101322.418	101329.112	4.14803016	0	0	0	0	0	3
29	8	0	0.450437634	101324.984	101325	101322.418	101329.112	4.14803016	0	0	0	0	0	3
30	8	0	0.465969967	101325.115	101325.004	101322.418	101329.112	4.14803016	0	0	0	0	0	3
31	8	0	0.481502299	101324.997	101325.003	101322.418	101329.112	4.14803016	0	0	0	0	0	3
32	9	0	0.497034631	101324.976	101325.002	101322.418	101329.112	4.14803016	0	0	0	0	0	3
33	9	0	0.512566963	101324.975	101325.002	101322.418	101329.112	4.14803016	0	0	0	0	0	3
34	9	0	0.528099295	101324.955	101324.876	101322.418	101326.289	0.889168383	0	0	0	0	0	3
35	9	0	0.543631628	101325	101324.954	101323.741	101326.289	0.292082915	0	0	0	0	0	3
36	10	0	0.55916396	101325.068	101324.994	101324.355	101326.289	0.292082915	0	0	0	0	0	3
37	10	0	0.574696292	101325.018	101324.992	101324.355	101326.289	0.292082915	0	0	0	0	0	3
38	10	0	0.590228624	101324.983	101324.994	101324.355	101326.289	0.292082915	0	0	0	0	0	3
39	10	0	0.605760957	101324.961	101325.005	101324.355	101326.289	0.292082915	0	0	0	0	0	3
40	11	0	0.621293289	101324.983	101324.965	101324.355	101325.784	0.2422295	0	0	0	0	0	3
41	11	0	0.636825621	101324.994	101324.972	101324.355	101325.784	0.169506197	0	0	0	0	0	3
42	11	0	0.652357953	101325	101324.989	101324.355	101325.784	0.169506197	0	0	0	0	0	3
43	11	0	0.667890285	101324.997	101324.987	101324.355	101325.784	0.155873186	0	0	0	0	0	3
44	12	0	0.683422618	101324.996	101324.994	101324.355	101325.784	0.155873186	0	0	0	0	0	3
45	12	0	0.69895495	101324.996	101325.013	101324.571	101325.784	0.155873186	0	0	0	0	0	3
46	12	0	0.714487282	101324.993	101325.01	101324.571	101325.784	0.155873186	0	0	0	0	0	3
47	12	0	0.730019614	101324.999	101324.987	101324.571	101325.316	0.148137391	0	0	0	0	0	3
48	12	0	0.745551947	101324.995	101324.989	101324.571	101325.316	0.14506547	0	0	0	0	0	3
49	13	0	0.761084279	101324.998	101324.999	101324.571	101325.316	0.14506547	0	0	0	0	0	3
50	13	0	0.776616611	101325	101324.989	101324.571	101325.27	0.143358409	0	0	0	0	0	3
51	13	0	0.792148943	101325.001	101324.997	101324.571	101325.27	0.143358409	0	0	0	0	0	3
52	13	0	0.807681275	101325.001	101324.989	101324.571	101325.242	0.137533142	0	0	0	0	0	3
53	14	0	0.823213608	101324.998	101325.002	101324.784	101325.242	0.137533142	0	0	0	0	0	3
54	14	0	0.83874594	101325	101324.999	101324.784	101325.242	0.137533142	0	0	0	0	0	3
55	14	0	0.854278272	101324.987	101325.005	101324.891	101325.242	0.137533142	0	0	0	0	0	3
56	14	0	0.869810604	101324.992	101324.998	101324.891	101325.14	0.137533142	0	0	0	0	0	3
57	14	0	0.885342937	101324.993	101324.993	101324.891	101325.118	0.137533142	0	0	0	0	0	3
58	15	0	0.900875269	101324.996	101324.996	101324.891	101325.118	0.137533142	0	0	0	0	0	3
59	15	0	0.916407601	101324.995	101324.992	101324.891	101325.115	0.137533142	0	0	0	0	0	3
60	15	0	0.931939933	101324.994	101324.995	101324.891	101325.115	0.137533142	0	0	0	0	0	3
61	15	0	0.947472265	101325.003	101324.998	101324.955	101325.115	0.137533142	0	0	0	0	0	3
62	16	0	0.963004598	101325.022	101324.999	101324.955	101325.115	0.137533142	0	0	0	0	0	3
63	16	0	0.97853693	101324.987	101324.996	101324.955	101325.068	0.11266521	0	0	0	0	0	3
64	16	0	0.994069262	101324.973	101324.995	101324.955	101325.068	0.11266521	0	0	0	0	0	3
65	17	0	1.00960159	101325.014	101324.996	101324.955	101325.068	0.11266521	0.0764449417	0	0	0	0	3
66	17	0	1.02513393	101324.985	101324.996	101324.955	101325.068	0.11266521	0.0764449417	0	0	0	0	3
67	17	0	1.04066626	101325	101324.998	101324.961	101325.068	0.0592744402	0.0764449417	0	0	0	0	3
68	17	0	1.05619859	101325.044	101324.999	101324.961	101325.068	0.0481060883	0.0764449417	0	0	0	0	3
69	17	0	1.07173092	101324.998	101324.997	101324.961	101325.044	0.0481060883	0.0764449417	0	0	0	0	3
70	18	0	1.08726326	101324.972	101324.996	101324.961	101325.044	0.0481060883	0.0764449417	0	0	0	0	3
71	18	0	1.10279559	101325.007	101324.996	101324.961	101325.044	0.0481060883	0.0764449417	0	0	0	0	3
72	18	0	1.11832792	101324.977	101324.997	101324.972	101325.044	0.0481060883	0.0764449417	0	0	0	0	3
73	18	0	1.13386025	101325.003	101324.997	101324.972	101325.044	0.0412732592	0.0764449417	0	0	0	0	3
74	19	0	1.14939258	101324.985	101324.997	101324.972	101325.044	0.0267021162	0.0764449417	0	0	0	0	3
75	19	0	1.16492492	101324.999	101324.997	101324.972	101325.044	0.0267021162	0.0764449417	0	0	0	0	3
76	19	0	1.18045725	101324.985	101324.997	101324.972	101325.044	0.0267021162	0.0764449417	0	0	0	0	3
77	19	0	1.19598958	101324.995	101324.997	101324.972	101325.044	0.0267021162	0.0764449417	0	0	0	0	3
78	20	0	1.21152191	101324.999	101324.997	101324.972	101325.044	0.0238092585	0.0764449417	0	0	0	0	3
79	20	0	1.22705425	101324.996	101324.997	101324.972	101325.044	0.0189300553	0.0764449417	0	0	0	0	3
80	20	0	1.24258658	101324.999	101324.997	101324.972	101325.044	0.0166423422	0.0764449417	0	0	0	0	3
81	20	0	1.25811891	101325.001	101324.997	101324.972	101325.044	0.0166423422	0.0764449417	0	0	0	0	3
82	20	0	1.27365124	101325.001	101324.997	101324.972	101325.044	0.0166423422	0.0764449417	0	0	0	0	3
83	21	0	1.28918357	101325.002	101324.997	101324.972	101325.044	0.0166423422	0.0764449417	0	0	0	0	3
84	21	0	1.30471591	101325	101324.997	101324.972	101325.044	0.0166423422	0.0764449417	0	0	0	0	3
85	21	0	1.32024824	101325.003	101324.997	101324.972	101325.044	0.0131850287	0.0764449417	0	0	0	0	3
86	21	0	1.33578057	101325.005	101324.997	101324.972	101325.044	0.0131850287	0.0764449417	0	0	0	0	3
87	22	0	1.3513129	101325.002	101324.997	101324.972	101325.044	0.0131850287	0.0764449417	0	0	0	0	3
88	22	0	1.36684524	101324.999	101324.998	101324.972	101325.044	0.00719345629	0.0764449417	0	0	0	0	3
89	22	0	1.38237757	101324.999	101324.998	101324.972	101325.044	0.00719345629	0.0764449417	0	0	0	0	3
90	22	0	1.3979099	101324.999	101324.998	101324.972	101325.044	0.00719345629	0.0764449417	0	0	0	0	3
91	22	0	1.41344223	101324.999	101324.998	101324.972	101325.044	0.00719345629	0.0764449417	0	0	0	0	3
92	23	0	1.42897456	101324.999	101324.998	101324.972	101325.044	0.0045828618	0.0764449417	0	0	0	0	3
93	23	0	1.4445069	101324.999	101324.998	101324.972	101325.044	0.0045828618	0.0764449417	0	0	0	0	3
94	23	0	1.46003923	101324.998	101324.998	101324.972	101325.044	0.0045828618	0.0764449417	0	0	0	0	3
95	23	0	1.47557156	101324.999	101324.998	101324.972	101325.044	0.00415392566	0.0764449417	0	0	0	0	3
96	23	0	1.49110389	101325	101324.998	101324.972	101325.044	0.00415392566	0.0764449417	0	0	0	0	3
97	24	0	1.50663623	101324.998	101324.999	101324.972	101325.044	0.00352797481	0.0764449417	0	0	0	0	3
98	24	0	1.52216856	101324.998	101324.998	101324.972	101325.044	0.00352797481	0.0764449417	0	0	0	0	3
99	24	0	1.53770089	101325	101324.999	101324.972	101325.044	0.00352797481	0.0764449417	0	0	0	0	3
100	24	0	1.55323322	101324.997	101324.999	101324.972	101325.044	0.00352797481	0.0764449417	0	0	0	0	3
101	25	0	1.56876555	101324.998	101324.997	101324.972	101325.007	0.00325931546	0.0764449417	0	0	0	0	3
102	25	0	1.58429789	101324.998	101324.997	101324.972	101325.007	0.00325931546	0.0764449417	0	0	0	0	3
103	25	0	1.59983022	101324.999	101324.998	101324.977	101325.007	0.00254430392	0.0764449417	0	0	0	0	3
104	25	0	1.61536255	101324.999	101324.998	101324.977	101325.005	0.00213564378	0.0764449417	0	0	0	0	3
105	25	0	1.63089488	101324.997	101324.998	101324.985	101325.005	0.00213564378	0.0764449417	0	0	0	0	3
106	26	0	1.64642722	101324.998	101324.998	101324.985	101325.005	0.00213564378	0.0764449417	0	0	0	0	3
107	26	0	1.66195955	101324.997	101324.999	101324.985	101325.005	0.00213564378	0.0764449417	0	0	0	0	3
108	26	0	1.67749188	101324.998	101324.999	101324.985	101325.005	0.00213564378	0.0764449417	0	0	0	0	3
109	26	0	1.69302421	101324.998	101324.999	101324.995	101325.005	0.00232420499	0.0764449417	0	0	0	0	3
110	27	0	1.70855654	101324.997	101324.999	101324.996	101325.005	0.00231608271	0.0764449417	0	0	0	0	3
111	27	0	1.72408888	101324.997	101324.999	101324.996	101325.005	0.00220203705	0.0764449417	0	0	0	0	3
112	27	0	1.73962121	101324.997	101324.999	101324.997	101325.005	0.00219397378	0.0764449417	0	0	0	0	3
113	27	0	1.75515354	101324.997	101324.999	101324.997	101325.005	0.00202754659	0.0764449417	0	0	0	0	3
114	28	0	1.77068587	101324.997	101324.999	101324.997	101325.005	0.00192355945	0.0764449417	0	0	0	0	3
115	28	0	1.78621821	101324.997	101324.999	101324.997	101325.005	0.00190492168	0.0764449417	0	0	0	0	3
116	28	0	1.80175054	101324.997	101324.999	101324.997	101325.005	0.00190492168	0.0764449417	0	0	0	0	3
