Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0155323322	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	1	0	0.0310646644	293.2	293.2	293.2	293.2	8.00923772e-11	0	0	0	0	0	3
3	2	0	0.0465969967	293.2	293.2	293.2	293.2	1.29887212e-10	0	0	0	0	0	3
4	2	0	0.0621293289	293.2	293.2	293.2	293.2	1.62117431e-10	0	0	0	0	0	3
5	2	0	0.0776616611	293.2	293.2	293.2	293.2	1.91448635e-10	0	0	0	0	0	3
6	2	0	0.0931939933	293.2	293.2	293.2	293.2	2.38003395e-10	0	0	0	0	0	3
7	3	0	0.108726326	293.2	293.2	293.2	293.2	3.09626103e-10	0	0	0	0	0	3
8	3	0	0.124258658	293.2	293.2	293.2	293.2	4.48153514e-10	0	0	0	0	0	3
9	3	0	0.13979099	293.2	293.2	293.2	293.2	6.36816821e-10	0	0	0	0	0	3
10	3	0	0.155323322	293.2	293.2	293.2	293.2	8.72603323e-10	0	0	0	0	0	3
11	4	0	0.170855654	293.2	293.2	293.2	293.2	1.20888899e-09	0	0	0	0	0	3
12	4	0	0.186387987	293.2	293.2	293.2	293.2	9.10011977e-09	0	0	0	0	0	3
13	4	0	0.201920319	293.2	293.2	293.2	293.2	9.10011977e-09	0	0	0	0	0	3
14	4	0	0.217452651	293.2	293.2	293.2	293.2	2.13711928e-08	0	0	0	0	0	3
15	5	0	0.232984983	293.2	293.2	293.2	293.2	2.1856124e-08	0	0	0	0	0	3
16	5	0	0.248517316	293.2	293.2	293.2	293.2	2.1856124e-08	0	0	0	0	0	3
17	5	0	0.264049648	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
18	5	0	0.27958198	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
19	6	0	0.295114312	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
20	6	0	0.310646644	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
21	6	0	0.326178977	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
22	6	0	0.341711309	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
23	7	0	0.357243641	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
24	7	0	0.372775973	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
25	7	0	0.388308305	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
26	7	0	0.403840638	293.2	293.2	293.2	293.2	2.3633504e-08	0	0	0	0	0	3
27	7	0	0.41937297	293.2	293.2	293.2	293.2	2.62613185e-08	0	0	0	0	0	3
28	8	0	0.434905302	293.2	293.2	293.2	293.2	3.25600809e-08	0	0	0	0	0	3
29	8	0	0.450437634	293.2	293.2	293.2	293.2	3.85320504e-08	0	0	0	0	0	3
30	8	0	0.465969967	293.2	293.2	293.2	293.2	4.40325039e-08	0	0	0	0	0	3
31	8	0	0.481502299	293.2	293.2	293.2	293.2	5.12960696e-08	0	0	0	0	0	3
32	9	0	0.497034631	293.2	293.2	293.2	293.2	5.94706648e-08	0	0	0	0	0	3
33	9	0	0.512566963	293.2	293.2	293.2	293.2	6.83249368e-08	0	0	0	0	0	3
34	9	0	0.528099295	293.2	293.2	293.2	293.2	7.97912207e-08	0	0	0	0	0	3
35	9	0	0.543631628	293.2	293.2	293.2	293.2	9.21271521e-08	0	0	0	0	0	3
36	10	0	0.55916396	293.2	293.2	293.2	293.2	1.06162815e-07	0	0	0	0	0	3
37	10	0	0.574696292	293.200001	293.2	293.2	293.200001	1.22884444e-07	0	0	0	0	0	3
